	Naive Bayes		TAN
1   0.858934169279	0.940438871473
2	0.902821316614	0.931034482759
3	0.874608150470	0.905956112853
4	0.890282131661	0.946708463950
5	0.877742946708	0.943573667712
6	0.890282131661	0.934169278997
7	0.846394984326	0.927899686520
8	0.884012539185	0.921630094044
9	0.905956112853	0.934169278997
10	0.915360501567	0.952978056426

t = 6.181868963022, p=7.782053257009e-06
